Submitted Data,Passed Quality Assurance Check,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Number of Residents with New Influenza,Number of Residents with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,During Past Two Weeks Average Time to Receive COVID-19 Test Results from Non-Point-of-Care Tests,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,Alcohol-Based Hand Rub (ABHR) Available,N95 Respirator Strategy for Optimization,Face Masks Strategy for Optimization,Eye Protection Strategy for Optimization,Gowns Strategy for Optimization,Gloves Strategy for Optimization,
Y,Y,1,54,49,15,77,75,Y,Y,291,342,48,0,N,N,N,N,720,200,27.78,0,0,1-2 DAYS,2,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,0,4,25,0,60,53,Y,Y,0,27,57,0,N,N,N,N,75.47,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,45,22,11,67,40,Y,Y,0,70,66,0,N,N,N,N,1125,275,24.44,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,23,10,4,39,30,Y,Y,30,76,13,0,N,N,N,N,766.67,133.33,17.39,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,9,1,61,45,Y,Y,0,2,5,0,N,N,N,N,133.33,22.22,16.67,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,117,31,36,13,55,45,Y,Y,0,84,43,0,N,N,Y,Y,688.89,288.89,41.94,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,35,22,2,88,65,Y,Y,10,195,38,0,Y,N,Y,Y,538.46,30.77,5.71,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,13,0,60,52,Y,Y,0,0,13,0,N,N,N,N,19.23,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,34,84,17,5,100,56,Y,Y,0,55,53,0,N,N,N,N,1500,89.29,5.95,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,0,9,32,4,58,40,Y,Y,39,305,44,0,N,N,Y,N,225,100,44.44,0,3,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,6,0,20,16,Y,Y,0,16,13,0,N,N,N,N,0,0,NA,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,14,37,31,6,111,88,Y,Y,2,90,21,0,Y,Y,Y,Y,420.45,68.18,16.22,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,0,5,35,0,81,54,Y,Y,0,1,21,0,N,N,N,N,92.59,0,0,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,70,30,11,108,85,Y,Y,83,141,69,0,N,N,N,N,823.53,129.41,15.71,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,7,58,65,10,116,74,Y,Y,0,78,49,0,N,N,N,N,783.78,135.14,17.24,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,6,6,13,0,87,55,N,N,0,0,12,0,N,N,N,N,109.09,0,0,0,0,1-2 DAYS,0,0,Y,CRISIS,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,6,13,49,2,120,107,Y,Y,106,209,18,0,Y,N,Y,Y,121.5,18.69,15.38,0,0,NOTEST,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,10,12,3,49,27,Y,Y,54,98,22,0,N,N,Y,N,370.37,111.11,30,0,0,<1 DAY,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,7,19,36,0,141,116,Y,Y,2,196,21,0,Y,N,Y,N,163.79,0,0,0,1,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,17,33,1,71,61,Y,Y,76,66,40,0,Y,N,N,Y,278.69,16.39,5.88,0,0,1-2 DAYS,1,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,124,6,51,7,220,141,Y,Y,3,256,48,0,N,N,N,N,42.55,49.65,116.67,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,12,0,51,50,Y,Y,0,1,5,0,N,N,N,N,20,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,1,25,0,80,51,Y,Y,54,277,31,0,N,N,N,N,19.61,0,0,0,1,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Y,8,33,32,5,NA,93,Y,Y,100,128,17,0,Y,N,Y,Y,354.84,53.76,15.15,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,42,36,27,15,96,52,Y,Y,0,61,20,1,N,N,N,N,692.31,288.46,41.67,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,8,29,12,1,163,97,Y,Y,102,224,37,0,N,N,N,N,298.97,10.31,3.45,0,0,1-2 DAYS,1,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,8,67,66,11,138,115,Y,Y,19,199,67,1,Y,N,Y,Y,582.61,95.65,16.42,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,26,35,6,88,77,Y,Y,196,159,39,0,N,N,N,N,337.66,77.92,23.08,0,0,1-2 DAYS,1,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,1,0,72,43,Y,Y,81,136,19,0,Y,N,Y,Y,0,0,NA,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,16,14,9,65,50,Y,Y,0,29,5,0,N,N,N,N,320,180,56.25,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,17,49,0,68,42,Y,Y,0,26,25,0,N,N,N,N,404.76,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,24,60,45,10,100,68,Y,Y,76,89,56,0,N,N,N,N,882.35,147.06,16.67,0,0,1-2 DAYS,0,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,42,0,1,0,29,22,Y,Y,3,30,5,0,Y,Y,Y,Y,0,0,NA,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,58,32,6,124,92,Y,Y,8,182,39,0,N,N,Y,N,630.43,65.22,10.34,0,0,1-2 DAYS,0,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,14,0,39,30,Y,Y,67,0,17,0,N,N,N,N,0,0,NA,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,71,36,13,120,88,Y,Y,5,248,60,0,Y,N,Y,N,806.82,147.73,18.31,0,2,1-2 DAYS,0,3,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,37,21,2,56,51,Y,Y,NA,NA,30,0,N,N,N,N,725.49,39.22,5.41,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,4,1,48,42,Y,Y,0,78,33,0,N,N,N,N,142.86,23.81,16.67,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,14,23,18,0,86,53,Y,Y,9,0,57,0,N,N,N,N,433.96,0,0,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,35,33,44,3,116,103,Y,Y,95,181,37,0,Y,N,Y,Y,320.39,29.13,9.09,0,0,1-2 DAYS,3,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,0,0,12,0,Y,Y,NA,NA,3,0,N,N,N,N,NA,NA,NA,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,27,68,30,18,92,48,Y,Y,93,191,58,0,Y,N,Y,Y,1416.67,375,26.47,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,21,23,1,0,100,57,Y,Y,55,116,50,0,N,N,N,N,403.51,0,0,0,0,1-2 DAYS,0,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,35,17,15,2,100,70,Y,Y,70,194,26,0,N,N,N,N,242.86,28.57,11.76,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,16,6,2,54,49,Y,Y,0,8,14,0,N,N,N,N,326.53,40.82,12.5,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,31,10,51,0,66,55,Y,Y,0,36,20,0,Y,N,Y,Y,181.82,0,0,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,18,14,3,100,78,Y,Y,8,78,14,0,N,N,Y,N,230.77,38.46,16.67,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,
Y,Y,0,54,290,6,55,48,Y,Y,104,86,57,0,N,N,N,N,1125,125,11.11,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,30,42,9,66,53,Y,Y,16,23,33,0,Y,N,Y,N,566.04,169.81,30,0,0,3-7 DAYS,0,0,Y,CRISIS,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,2,19,4,65,52,Y,Y,0,59,32,0,N,N,N,N,38.46,76.92,200,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,
Y,Y,0,5,37,1,81,63,Y,Y,4,36,32,0,N,N,N,N,79.37,15.87,20,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,20,63,31,16,78,60,Y,Y,12,138,58,0,N,N,N,N,1050,266.67,25.4,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,75,21,21,2,100,51,Y,Y,73,137,28,0,N,N,N,N,411.76,39.22,9.52,0,0,1-2 DAYS,0,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,0,8,0,32,24,Y,Y,0,0,5,0,N,N,N,N,0,0,NA,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,196,0,36,24,Y,Y,NA,NA,12,0,Y,N,N,Y,250,0,0,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,1,10,0,19,16,Y,Y,0,56,23,0,N,N,N,N,62.5,0,0,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,38,109,11,120,109,Y,Y,0,19,69,0,Y,N,Y,Y,348.62,100.92,28.95,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,12,87,49,28,122,93,Y,Y,0,0,84,2,N,N,N,N,935.48,301.08,32.18,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,7,55,44,30,80,77,Y,Y,75,148,50,0,N,N,N,N,714.29,389.61,54.55,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,25,13,1,1,64,55,Y,Y,NA,NA,21,0,N,N,N,N,236.36,18.18,7.69,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,2,37,0,78,78,Y,Y,55,129,26,0,N,N,N,N,25.64,0,0,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,11,29,20,9,44,35,Y,Y,0,0,33,0,N,N,N,N,828.57,257.14,31.03,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,5,61,1,78,0,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,3,168,118,34,260,213,Y,Y,0,1,94,0,Y,N,Y,N,788.73,159.62,20.24,0,2,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,26,15,4,84,73,Y,Y,0,0,45,0,Y,Y,Y,Y,356.16,54.79,15.38,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,49,26,13,90,51,Y,Y,NA,NA,35,0,N,N,N,N,960.78,254.9,26.53,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,11,35,70,8,155,145,Y,Y,0,0,73,0,N,N,N,N,241.38,55.17,22.86,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,2,5,0,52,41,Y,Y,0,14,20,0,N,N,N,N,48.78,0,0,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,2,19,0,65,40,Y,Y,NA,NA,16,0,N,N,N,N,50,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,48,8,0,71,43,Y,Y,2,1,33,0,N,N,N,N,1116.28,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,36,59,98,12,150,124,Y,Y,0,0,56,0,N,N,N,N,475.81,96.77,20.34,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,17,94,1,120,110,Y,Y,0,23,50,0,N,N,N,N,154.55,9.09,5.88,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,9,0,44,35,Y,Y,0,62,18,0,N,N,N,N,171.43,0,0,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,20,7,0,57,39,Y,Y,0,3,21,0,Y,N,Y,N,512.82,0,0,0,0,1-2 DAYS,0,0,Y,CRISIS,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,1,22,0,42,30,Y,Y,0,23,6,0,Y,N,Y,N,33.33,0,0,0,0,NOTEST,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,4,72,30,18,175,133,Y,Y,0,0,56,0,Y,N,Y,Y,541.35,135.34,25,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,7,37,41,7,77,77,Y,Y,73,127,43,0,N,N,N,N,480.52,90.91,18.92,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,4,9,0,62,59,Y,Y,0,2,22,0,Y,Y,Y,N,67.8,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,12,35,34,7,99,83,Y,Y,1,20,18,0,N,N,Y,Y,421.69,84.34,20,0,0,3-7 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,
Y,Y,0,3,0,0,28,17,Y,Y,0,0,7,0,N,N,N,N,176.47,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,4,38,0,100,81,Y,Y,0,29,20,0,N,N,N,N,49.38,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,411,106,124,49,320,234,Y,Y,13,344,119,1,Y,N,Y,Y,452.99,209.4,46.23,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,6,7,1,111,69,Y,Y,0,5,8,0,N,N,N,N,86.96,14.49,16.67,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,35,44,8,6,84,68,Y,Y,0,26,18,0,N,N,N,N,647.06,88.24,13.64,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,222,42,42,24,112,91,Y,Y,0,10,38,0,N,N,N,N,461.54,263.74,57.14,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,195,138,112,58,231,152,Y,Y,11,1,98,0,N,N,N,N,907.89,381.58,42.03,0,2,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,4,80,52,16,100,69,Y,Y,0,0,111,0,N,N,N,N,1159.42,231.88,20,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,37,26,12,50,38,Y,Y,0,7,36,0,N,N,N,N,973.68,315.79,32.43,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,41,14,8,120,82,N,N,0,20,37,0,N,N,N,N,500,97.56,19.51,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,79,38,52,17,120,106,Y,Y,105,120,49,0,N,N,N,N,358.49,160.38,44.74,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,31,31,7,68,39,Y,Y,0,0,25,1,Y,N,Y,Y,794.87,179.49,22.58,0,0,1-2 DAYS,0,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,31,68,8,60,55,Y,Y,0,18,29,0,N,N,Y,N,563.64,145.45,25.81,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,4,4,50,1,94,86,Y,Y,0,0,40,0,N,N,N,N,46.51,11.63,25,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,56,44,23,1,114,108,Y,Y,0,0,75,0,N,N,N,N,407.41,9.26,2.27,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,16,11,1,60,33,Y,Y,1,0,22,0,N,N,N,N,484.85,30.3,6.25,0,1,<1 DAY,0,1,Y,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL,
Y,Y,0,65,61,13,90,63,Y,Y,0,0,74,0,N,N,Y,N,1031.75,206.35,20,0,1,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,
Y,Y,3,16,12,2,71,64,Y,Y,0,18,12,0,Y,N,Y,N,250,31.25,12.5,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,17,0,0,70,55,Y,Y,0,85,28,0,N,N,N,N,309.09,0,0,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,65,33,12,110,83,Y,Y,0,31,53,0,Y,N,Y,N,783.13,144.58,18.46,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,38,18,3,80,50,Y,Y,46,105,53,0,N,N,N,N,760,60,7.89,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,38,11,3,65,46,Y,Y,1,3,35,0,N,N,N,N,826.09,65.22,7.89,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,30,31,5,139,96,Y,Y,0,7,26,0,Y,N,Y,N,312.5,52.08,16.67,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,19,40,58,6,76,72,Y,Y,0,0,46,0,N,N,N,N,555.56,83.33,15,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,7,2,41,0,66,56,Y,Y,NA,NA,20,0,N,N,N,N,35.71,0,0,0,0,3-7 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,10,10,14,2,50,42,Y,Y,0,0,44,1,Y,N,Y,N,238.1,47.62,20,0,0,<1 DAY,0,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,13,3,11,3,69,45,Y,Y,45,115,24,0,N,N,Y,N,66.67,66.67,100,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,40,49,7,109,89,Y,Y,6,33,54,0,N,N,N,Y,449.44,78.65,17.5,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,8,41,3,90,68,Y,Y,93,90,36,0,Y,N,Y,Y,117.65,44.12,37.5,0,0,1-2 DAYS,1,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,35,89,85,26,155,100,Y,Y,0,0,84,1,N,N,N,N,890,260,29.21,0,0,1-2 DAYS,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,52,70,23,96,92,Y,Y,0,0,71,1,N,N,N,N,565.22,250,44.23,0,0,1-2 DAYS,1,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
