SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,2,98,55,Y,Y,1,147,31,0,N,N,N,N,600,200,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,0,100,81,Y,Y,85,170,30,0,N,N,N,N,24.69,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,4,128,74,Y,Y,32,88,76,0,N,N,N,N,202.7,13.51,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,37,190,103,Y,Y,10,86,41,0,N,N,N,N,339.81,29.13,0,3,3-7 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL
Y,Y,3,59,28,NA,NA,NA,NA,18,0,NA,NA,NA,NA,1107.14,464.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,2,49,43,Y,Y,NA,NA,12,0,N,N,Y,N,930.23,46.51,0,0,NOTEST,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONTINGENCY
Y,Y,2,100,91,Y,Y,110,139,17,0,N,N,N,N,43.96,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,50,40,Y,Y,37,64,15,0,Y,N,Y,N,100,25,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,25,103,80,Y,Y,177,204,76,0,Y,N,Y,Y,1125,187.5,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,2,65,50,Y,Y,NA,NA,42,0,N,N,N,N,1060,340,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,61,85,54,Y,Y,7,35,35,0,N,N,N,N,907.41,370.37,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,104,38,33,Y,Y,0,0,44,0,N,N,N,N,181.82,151.52,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,94,36,Y,Y,0,24,18,0,N,N,N,N,1111.11,250,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,93,38,Y,Y,1,39,310,0,Y,N,N,N,9842.11,1421.05,0,0,<1 DAY,1,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL
Y,Y,49,108,68,Y,Y,0,43,57,0,N,N,N,N,1029.41,691.18,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,19,15,Y,Y,0,76,15,0,N,N,N,N,0,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,180,111,Y,Y,16,45,48,0,N,N,N,N,738.74,45.05,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,34,180,121,Y,Y,120,140,52,0,N,N,N,N,148.76,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CRISIS,CONVENTIONAL
Y,Y,48,151,106,Y,Y,12,73,95,6,N,N,N,N,113.21,18.87,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,0,39,31,Y,Y,0,71,26,1,N,N,N,N,1096.77,129.03,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,60,39,Y,Y,2,67,52,0,N,N,N,N,871.79,307.69,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,38,20,8,Y,Y,0,28,18,0,N,N,N,N,750,500,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,108,89,Y,Y,6,24,4,0,N,N,Y,N,22.47,11.24,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,25,18,Y,Y,0,14,5,0,N,N,N,N,0,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,91,62,Y,Y,4,67,99,0,N,N,N,N,741.94,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,70,48,Y,Y,NA,NA,23,0,N,N,N,N,62.5,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,39,33,Y,Y,0,26,20,0,N,N,N,N,636.36,181.82,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,60,38,Y,Y,0,105,18,0,N,N,Y,N,552.63,131.58,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,89,46,Y,Y,10,167,32,0,Y,N,Y,Y,260.87,130.43,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,17,121,100,Y,Y,0,67,66,0,N,N,N,N,980,230,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,16,59,52,Y,Y,0,47,6,0,N,N,N,N,38.46,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,94,65,Y,Y,65,81,22,0,N,N,N,N,800,138.46,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY
Y,Y,1,84,63,Y,Y,NA,NA,46,0,Y,Y,Y,Y,809.52,222.22,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,19,120,78,Y,Y,1,84,55,0,N,N,N,N,512.82,141.03,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,32,121,84,Y,Y,7,106,28,0,N,N,N,N,226.19,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,69,56,Y,Y,0,33,33,0,Y,N,Y,N,857.14,160.71,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,22,150,78,Y,Y,78,156,39,0,Y,N,Y,N,51.28,12.82,0,1,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,0,32,0,Y,Y,NA,NA,7,0,N,N,N,N,NA,NA,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,32,30,Y,Y,0,0,28,0,N,N,N,N,0,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,53,42,NA,NA,NA,NA,25,0,NA,NA,NA,NA,690.48,119.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NA,2,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,2,100,68,Y,Y,136,183,31,0,N,N,N,N,58.82,0,0,2,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,50,67,62,Y,Y,66,108,38,0,Y,N,Y,Y,483.87,129.03,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,22,20,Y,Y,0,12,19,0,N,N,Y,N,0,50,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,45,23,Y,Y,0,45,16,0,Y,N,N,Y,1565.22,260.87,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,59,32,Y,Y,0,10,34,0,N,N,N,N,656.25,31.25,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,37,27,Y,Y,0,0,13,0,N,N,N,N,148.15,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,147,60,41,Y,Y,0,28,42,0,N,N,N,N,585.37,390.24,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,39,29,Y,Y,0,41,12,0,N,N,N,N,586.21,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,150,92,Y,Y,9,101,20,0,N,N,N,N,239.13,54.35,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CRISIS,CONTINGENCY
Y,Y,67,129,87,Y,Y,NA,NA,82,0,N,N,N,N,919.54,344.83,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,126,130,112,Y,Y,10,178,77,0,N,N,Y,Y,1017.86,339.29,0,0,NOTEST,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,NA,92,Y,Y,8,180,18,0,Y,N,Y,Y,141.3,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,123,72,Y,Y,76,106,69,0,Y,N,Y,Y,1263.89,236.11,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,NA,NA,NA,NA,NA,NA,14,0,N,N,Y,Y,NA,NA,NA,NA,NA,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,32,92,50,Y,Y,0,0,35,1,Y,N,N,N,880,280,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,149,71,Y,Y,15,174,35,0,N,N,N,N,140.85,0,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,3,39,17,Y,Y,3,32,9,0,Y,N,Y,Y,764.71,411.76,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,80,77,Y,Y,152,174,48,0,N,N,N,N,805.19,220.78,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,92,120,103,Y,Y,3,169,27,1,NA,NA,NA,NA,553.4,359.22,0,0,<1 DAY,NA,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL
Y,Y,2,29,27,Y,Y,0,0,11,0,N,N,N,N,74.07,37.04,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,11,44,34,Y,Y,1,170,20,0,N,N,N,N,29.41,88.24,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,60,47,Y,Y,4,0,27,1,N,N,N,N,595.74,21.28,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,82,63,Y,Y,0,53,31,0,N,N,Y,N,95.24,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,39,27,Y,Y,0,29,31,0,N,N,N,N,1111.11,259.26,0,0,<1 DAY,1,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,77,75,Y,Y,291,342,48,0,N,N,N,N,720,200,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,0,60,53,Y,Y,0,27,57,0,N,N,N,N,75.47,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,67,40,Y,Y,0,70,66,0,N,N,N,N,1125,275,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,3,39,30,Y,Y,30,76,13,0,N,N,N,N,766.67,133.33,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,61,45,Y,Y,0,2,5,0,N,N,N,N,133.33,22.22,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,117,55,45,Y,Y,0,84,43,0,N,N,Y,Y,688.89,288.89,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,88,65,Y,Y,10,195,38,0,Y,N,Y,Y,538.46,30.77,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,60,52,Y,Y,0,0,13,0,N,N,N,N,19.23,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,34,100,56,Y,Y,0,55,53,0,N,N,N,N,1500,89.29,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,0,58,40,Y,Y,39,305,44,0,N,N,Y,N,225,100,0,3,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,20,16,Y,Y,0,16,13,0,N,N,N,N,0,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,14,111,88,Y,Y,2,90,21,0,Y,Y,Y,Y,420.45,68.18,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,0,81,54,Y,Y,0,1,21,0,N,N,N,N,92.59,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,108,85,Y,Y,83,141,69,0,N,N,N,N,823.53,129.41,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,116,74,Y,Y,0,78,49,0,N,N,N,N,783.78,135.14,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,6,87,55,N,N,0,0,12,0,N,N,N,N,109.09,0,0,0,1-2 DAYS,0,Y,CRISIS,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY
Y,Y,6,120,107,Y,Y,106,209,18,0,Y,N,Y,Y,121.5,18.69,0,0,NOTEST,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,49,27,Y,Y,54,98,22,0,N,N,Y,N,370.37,111.11,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,141,116,Y,Y,2,196,21,0,Y,N,Y,N,163.79,0,0,1,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,71,61,Y,Y,76,66,40,0,Y,N,N,Y,278.69,16.39,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,124,220,141,Y,Y,3,256,48,0,N,N,N,N,42.55,49.65,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,51,50,Y,Y,0,1,5,0,N,N,N,N,20,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,80,51,Y,Y,54,277,31,0,N,N,N,N,19.61,0,0,1,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,NA,93,Y,Y,100,128,17,0,Y,N,Y,Y,354.84,53.76,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,42,96,52,Y,Y,0,61,20,1,N,N,N,N,692.31,288.46,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,163,97,Y,Y,102,224,37,0,N,N,N,N,298.97,10.31,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,8,138,115,Y,Y,19,199,67,1,Y,N,Y,Y,582.61,95.65,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,88,77,Y,Y,196,159,39,0,N,N,N,N,337.66,77.92,0,0,1-2 DAYS,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,0,72,43,Y,Y,81,136,19,0,Y,N,Y,Y,0,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,65,50,Y,Y,0,29,5,0,N,N,N,N,320,180,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,68,42,Y,Y,0,26,25,0,N,N,N,N,404.76,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,24,100,68,Y,Y,76,89,56,0,N,N,N,N,882.35,147.06,0,0,1-2 DAYS,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,42,29,22,Y,Y,3,30,5,0,Y,Y,Y,Y,0,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,124,92,Y,Y,8,182,39,0,N,N,Y,N,630.43,65.22,0,0,1-2 DAYS,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,0,39,30,Y,Y,67,0,17,0,N,N,N,N,0,0,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,120,88,Y,Y,5,248,60,0,Y,N,Y,N,806.82,147.73,0,2,1-2 DAYS,3,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,56,51,Y,Y,NA,NA,30,0,N,N,N,N,725.49,39.22,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,48,42,Y,Y,0,78,33,0,N,N,N,N,142.86,23.81,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,14,86,53,Y,Y,9,0,57,0,N,N,N,N,433.96,0,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,35,116,103,Y,Y,95,181,37,0,Y,N,Y,Y,320.39,29.13,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,12,0,Y,Y,NA,NA,3,0,N,N,N,N,NA,NA,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,27,92,48,Y,Y,93,191,58,0,Y,N,Y,Y,1416.67,375,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,21,100,57,Y,Y,55,116,50,0,N,N,N,N,403.51,0,0,0,1-2 DAYS,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,35,100,70,Y,Y,70,194,26,0,N,N,N,N,242.86,28.57,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,54,49,Y,Y,0,8,14,0,N,N,N,N,326.53,40.82,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,31,66,55,Y,Y,0,36,20,0,Y,N,Y,Y,181.82,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,100,78,Y,Y,8,78,14,0,N,N,Y,N,230.77,38.46,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL
Y,Y,0,55,48,Y,Y,104,86,57,0,N,N,N,N,1125,125,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,10,66,53,Y,Y,16,23,33,0,Y,N,Y,N,566.04,169.81,0,0,3-7 DAYS,0,Y,CRISIS,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,65,52,Y,Y,0,59,32,0,N,N,N,N,38.46,76.92,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY
Y,Y,0,81,63,Y,Y,4,36,32,0,N,N,N,N,79.37,15.87,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,20,78,60,Y,Y,12,138,58,0,N,N,N,N,1050,266.67,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,75,100,51,Y,Y,73,137,28,0,N,N,N,N,411.76,39.22,0,0,1-2 DAYS,0,Y,CRISIS,CRISIS,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,0,32,24,Y,Y,0,0,5,0,N,N,N,N,0,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,36,24,Y,Y,NA,NA,12,0,Y,N,N,Y,250,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,19,16,Y,Y,0,56,23,0,N,N,N,N,62.5,0,0,0,<1 DAY,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,120,109,Y,Y,0,19,69,0,Y,N,Y,Y,348.62,100.92,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,12,122,93,Y,Y,0,0,84,2,N,N,N,N,935.48,301.08,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,80,77,Y,Y,75,148,50,0,N,N,N,N,714.29,389.61,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,25,64,55,Y,Y,NA,NA,21,0,N,N,N,N,236.36,18.18,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,1,78,78,Y,Y,55,129,26,0,N,N,N,N,25.64,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,11,44,35,Y,Y,0,0,33,0,N,N,N,N,828.57,257.14,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,78,0,NA,NA,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,3,260,213,Y,Y,0,1,94,0,Y,N,Y,N,788.73,159.62,0,2,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,84,73,Y,Y,0,0,45,0,Y,Y,Y,Y,356.16,54.79,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
