SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,5,91,54,Y,Y,NA,NA,43,0,Y,N,Y,Y,740.74,1111.11,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,95,86,Y,Y,0,22,95,0,N,N,N,N,488.37,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,158,135,113,Y,Y,112,72,69,1,Y,N,Y,N,1477.88,292.04,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,6,111,72,Y,Y,0,3,75,0,N,N,N,N,666.67,69.44,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,30,183,131,Y,Y,5,53,65,0,N,N,N,N,900.76,0,0,0,1-2 DAYS,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,59,107,75,Y,Y,0,55,64,0,N,N,N,N,746.67,66.67,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,5,114,100,Y,Y,103,35,77,0,N,N,N,N,360,30,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,159,89,Y,Y,0,2,95,0,N,N,N,N,1449.44,123.6,0,0,3-7 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,100,85,Y,Y,NA,NA,51,0,N,N,N,N,917.65,35.29,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,36,172,111,Y,Y,0,0,67,0,N,N,N,N,864.86,0,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,57,151,130,Y,Y,0,124,140,0,N,N,N,N,823.08,138.46,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,69,65,Y,Y,3,72,48,1,Y,N,Y,Y,830.77,76.92,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,88,80,Y,Y,0,56,39,1,N,N,Y,N,350,50,0,0,NOTEST,0,Y,CRISIS,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,4,83,64,Y,Y,0,61,50,1,N,N,Y,N,1078.13,203.13,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,123,82,Y,Y,1,111,40,0,Y,N,Y,Y,707.32,121.95,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,20,129,97,Y,Y,0,9,43,0,Y,N,Y,Y,938.14,103.09,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,11,120,105,Y,Y,106,110,100,0,Y,N,Y,Y,1085.71,352.38,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONTINGENCY,CONVENTIONAL
Y,Y,17,100,73,Y,Y,0,4,31,0,N,N,N,N,547.95,95.89,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,48,173,120,Y,Y,167,81,60,0,Y,N,Y,Y,791.67,108.33,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,30,148,129,Y,Y,26,0,69,1,N,N,N,N,914.73,15.5,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,10,129,108,Y,Y,0,0,66,0,N,N,N,N,666.67,138.89,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
